id,Actual,Support Vector Classifier (RBF),Naive Bayes,Logistic Regression,Random Forest,Ensemble
7660715,1,0.8750852855716945,0.9941773016831073,0.8914109535722929,0.807,0.8790640937325241
7713127,1,0.22806167122688667,0.951295014693869,0.651269273839345,0.639,0.5807838717682988
7720683,0,0.05984139394663719,0.9150518387191039,0.585190981681491,0.682,0.5506009936948499
8069131,1,0.006693272875997796,0.6841800385045945,0.347392958940468,0.349,0.35041857798399373
8239200,1,0.8403292085366499,0.966128552252299,0.9256524806094502,0.827,0.8745717800933834
8265930,1,0.6199702171767627,0.8620228911681163,0.8712079103140067,0.56,0.6903626356463234
8374848,1,0.9809672251981179,0.9945242154138813,0.9001442510638978,1.0,0.9696164905096305
8438029,1,0.9999991841792827,0.9963799186462392,0.9910738303901787,0.827,0.9533634073509315
8497859,1,0.20129107370617183,0.8932728664279108,0.7133493806106167,0.468,0.5359898983544659
8566102,1,0.5644326199794641,0.9764969039469057,0.8881335098804229,0.75,0.7590887650547081
8606577,1,0.05994310585028741,0.9031158328796998,0.5251845615280969,0.392,0.468874826387723
8630975,0,0.09593204297093684,0.9515134236011292,0.7221037104500538,0.615,0.5831309388800399
8700396,1,0.9999983269842434,0.9935847127158162,0.9852533878638157,0.856,0.9549594533247088
8768687,1,0.9957765395665557,0.9907667458267627,0.9713664130033574,0.737,0.9113908605569288
9123339,1,0.7750568351803038,0.9906151461488192,0.8466815508834076,0.516,0.7666283706468298
9418385,0,0.01197281551748392,0.8327927192343048,0.48804293041515895,0.276,0.40001895285955225
9436953,1,0.18508057204413447,0.885504276045228,0.7223365280234044,0.649,0.591219490502363
9460707,1,0.7695740172603036,0.989700148554599,0.8592978021675332,0.739,0.8177603483506176
9507858,1,0.4575392729086978,0.9015244677926636,0.581772603788054,0.721,0.6285140786555423
9576009,1,0.9810046703785763,0.9464790546907098,0.8903590383386798,1.0,0.9551686466528644
9582501,1,0.8227563422653722,0.9427686052576535,0.9043235269008055,0.689,0.8222648163824926
9679554,1,0.7446627104713013,0.9694027691474213,0.8357251942273181,0.57,0.7578367747523109
9697822,1,0.6402738551099844,0.9754586984825512,0.801441612203631,0.702,0.7459750776715455
9754206,0,0.00041688525737292064,0.9082182261598374,0.43705911165496986,0.139,0.36782864268309245
9798653,1,0.9999906119396674,0.9952634299520606,0.9825761603957937,0.859,0.9559593089558922
9805018,1,0.2840775626313561,0.9832115349220166,0.8108659080426736,0.722,0.659548175652317
9959868,0,0.8097928948165507,0.9933278971294889,0.8224969235112474,0.655,0.803304474337525
10008193,1,0.6725351465652974,0.914662427596363,0.8613650849281577,0.572,0.7191530584578291
10074364,1,0.9999919825203809,0.9889967907899146,0.9877497245514864,0.739,0.9236861432555864
10090020,1,0.7857651800390052,0.9195436883758635,0.8666000875743786,0.679,0.7898453693647534
10140973,1,0.9999954851374524,0.9964629330873379,0.9799117814976309,0.841,0.953093437595975
10169826,1,0.7517934654002671,0.7126059273103768,0.4777229278130099,0.514,0.5945078490629466
10249314,1,0.9838835261856093,0.9569333210373585,0.9609560231360701,0.799,0.9219176438386619
10297070,1,0.25552964212226775,0.9581846671888614,0.6932344277137589,0.537,0.5781975260745348
10315536,0,0.00021177443273756114,0.012834449298862568,0.04999085167075376,0.001,0.01571039913383681
10325599,0,0.0007740583934070128,0.5308704832750473,0.21524825132736575,0.511,0.309549487724222
10395392,1,0.01820367118848174,0.7813568493950713,0.5365015863626379,0.597,0.4776493081036727
10440431,1,0.8073577959400549,0.9914538463898235,0.8873473596792073,0.699,0.8333802044155004
10469665,0,0.0013010262996543235,0.7079371196582981,0.3224979896987191,0.267,0.3233960924393994
10475438,1,0.9081163050611865,0.9931509712369841,0.920081210210138,0.802,0.8980636237919704
10503804,0,0.014890947249020216,0.7963663233553757,0.5123615286834373,0.516,0.458163064570849
10504268,1,0.3234392923521862,0.9800926033711075,0.855384627373783,0.601,0.6549846046581218
10511908,1,0.9289242822712892,0.9902177068714886,0.8799565610562881,0.789,0.8928550544269258
10559299,1,0.9249464431229988,0.9971720437740591,0.9329112791920553,0.843,0.9209608620792635
10565989,0,0.5761235729629463,0.9490222720886641,0.7554934585599389,0.559,0.6722349127319887
10580405,0,0.0005068604688985432,0.7112679559640298,0.4516564806164769,0.172,0.33574292354881186
10607598,1,0.9999979784531308,0.989918673101752,0.9886485018195379,0.785,0.9431417032635343
10614031,0,0.9586152815215638,0.9858339110093959,0.9475090803664318,0.74,0.9091183938662382
10621390,1,0.5867326676035376,0.9750794695842157,0.7887633538324589,0.425,0.6522199465313289
10635088,1,0.45995102884637074,0.8586256979905237,0.7792561468420305,0.593,0.6357689328005794
10658074,1,0.9973862418305903,0.9982955460924844,0.9818523972198833,0.75,0.9250354460516186
10664718,1,0.4194493452406302,0.9379257554078149,0.7171025409292247,0.537,0.6101335438352016
10678406,0,0.002019628821265131,0.8011349278822586,0.22946447525390334,0.146,0.29571366169194263
10682575,1,0.06159118747561181,0.9609013588767511,0.5864545225896751,0.618,0.5425424268885706
10692485,1,0.6334493199164499,0.9561315539926761,0.783883749481015,0.626,0.7129024512121808
10692602,0,0.7560990111257249,0.9800120882431703,0.8562287101354175,0.717,0.8038241588353823
10769501,0,0.010959358973333545,0.9204900053112476,0.4535548471339301,0.439,0.45626390296990776
10789723,1,0.13593995854951554,0.6077163624971024,0.5516383338570695,0.555,0.4466434966889561
10796381,0,0.0905313423305192,0.42476918959202037,0.25959197444358406,0.138,0.20997365703704832
10802889,0,0.0006686234251261806,0.20183053367610165,0.15245688574065686,0.155,0.12583841907911994
10818293,1,0.991486506853331,0.993333087647859,0.9771627036721697,0.756,0.9231102982075925
10831976,0,0.6583203438579327,0.8884192144165272,0.8404041712854421,0.648,0.7257489591352567
10841666,0,0.907733587428135,0.9692554094004685,0.9368074108575614,0.724,0.8841341604071387
10885436,1,0.9901064402487915,0.9956066784351908,0.964006868696168,0.746,0.9263343826746626
10908950,0,0.003919868495559321,0.7471762651601165,0.30136086028461034,0.177,0.30002759470761553
10916050,1,0.2528125431844457,0.8864657037972413,0.7005920221532369,0.642,0.592153993442706
10930066,1,0.47467172966412585,0.9883658088193056,0.8432088734154772,0.657,0.6952096759987819
10931999,0,0.26965163264761915,0.8326762423880477,0.560316742118979,0.53,0.5194927868097281
10937237,1,0.09914909306606778,0.9422178833363578,0.6021987484035081,0.691,0.5629409662287168
10945040,1,0.6336871271793315,0.9693543347095726,0.8680082520067147,0.633,0.7430613940333388
10951554,1,0.6034762796914145,0.8969907097924491,0.7657821579807048,0.49,0.6474925548241054
10963497,0,0.013307692460590806,0.909702341988151,0.472268189802187,0.62,0.48712988099690546
10963812,1,0.3497132418673133,0.9698919202834856,0.8096231915298333,0.74,0.6782442191292035
11024276,1,0.01771894692022463,0.8237262774334159,0.4690236536908971,0.485,0.45459181964994944
11037328,1,0.0030893355041433828,0.40763217185029066,0.33961605388480715,0.46,0.2994192367118037
11043026,1,0.9767279230817983,0.9772558415020536,0.9605955848475588,0.707,0.909782307053577
11049481,1,0.05996058077012096,0.936882390127466,0.5992905409299305,0.543,0.524844582844678
11049605,1,0.07372962055275611,0.833283830467878,0.7187820953094113,0.588,0.536896612122705
11069353,0,0.14899473713473432,0.977043305462535,0.7547488628442243,0.407,0.5437387694366955
11074507,1,0.4817764921630339,0.9926567819890805,0.8581630035496646,0.85,0.7471223423816898
11087528,1,0.08395834348987101,0.7300370640911914,0.6198379365906962,0.449,0.4496494007443291
11087877,0,0.044609863199865374,0.4707106599850921,0.29543348924755086,0.469,0.30985026521817133
11109099,0,0.026289721513612658,0.7915985645511543,0.37527718674221555,0.273,0.35468538727577914
11122165,1,0.3669797545021854,0.9170115865818657,0.6714782418060069,0.485,0.5702437564576313
11126826,0,0.8770695123810857,0.9916097162678025,0.9133921364589507,0.702,0.8589050407751472
11127225,0,0.9550507003653766,0.956764648474034,0.9221670401603889,0.641,0.8711565545634748
11138249,0,0.014323605047396019,0.9042774239370339,0.46956080206743617,0.592,0.48665675402601405
11153566,0,0.40026091345651355,0.809680164612547,0.7882071009510137,0.8,0.6511036767973934
11232268,1,0.9963188584028955,0.9983898014167197,0.9779496314480483,0.998,0.9940812954527333
11238197,1,0.35208638012620536,0.9160572705691589,0.6987421209924574,0.703,0.6188256434810524
11275903,1,0.9626267389041034,0.9830182252587083,0.9483841442824192,0.798,0.9088574944778492
11302310,0,0.9880912085024721,0.998918248521939,0.9628098875086738,0.821,0.9453999122202368
11321729,0,0.6844105309524774,0.936407130108407,0.7596167052823158,0.395,0.6650289763763235
11379747,0,0.7029693246706583,0.9683742294247196,0.8570714346866588,0.521,0.7322454898195011
11393451,0,0.8935869256737867,0.9233235482057317,0.8809952527970527,0.762,0.8543245594884465
11483494,0,0.16439132336502577,0.8230632959448143,0.7419048655677015,0.613,0.563178550493804
11514493,1,0.07183275059358574,0.9543639251450046,0.658855124105591,0.645,0.5709959383146138
11514633,0,0.22527907072526973,0.9335372859476346,0.7003295920894693,0.576,0.5719249263771786
11544460,1,0.9269405796622174,0.9931596104769017,0.9260626193504345,0.689,0.8784347795429783
11568576,1,0.5996283993894528,0.9648076934675353,0.8012668263205274,0.613,0.7069045134078122
11574624,1,0.719441833369684,0.9734862087704841,0.8906220138326437,0.676,0.787992138137776
11581020,1,0.7787425542727555,0.9782757806742589,0.870351636438864,0.761,0.8343375791114085
11586724,0,0.6020015826165557,0.8274845654230297,0.6117759878978095,0.587,0.6234182977399094
11600263,1,0.010335089974524404,0.8443164586659117,0.4903079507594415,0.752,0.5318740448555258
11604966,1,0.23914629784449012,0.9692416510836753,0.6798233916644856,0.519,0.567669789695847
11605387,1,0.0028938605441691545,0.7406555988828237,0.20424485268096357,0.243,0.3043240772635831
11605388,1,0.9999999737122369,0.9976052447798079,0.9937933989989612,0.878,0.9710996604919206
11631208,1,0.29061291622776675,0.9515785935406511,0.7524418325605214,0.537,0.594209096983273
11631237,1,0.869960520996693,0.9740460495863937,0.9019726532221871,0.76,0.8700121255174559
11640493,1,0.8791996975466879,0.9904383939391371,0.8933883404421706,0.686,0.8526518300222414
11647153,1,0.004096907692621376,0.8854210116402221,0.3641981066047544,0.505,0.44630602969337363
11657598,1,0.985847092513638,0.9920107754473788,0.9590113305766937,0.802,0.9446866006652418
11687152,1,0.0011389643965428245,0.3803849703155479,0.15403008781981736,0.493,0.2533854891515396
11688100,1,0.4734566543038283,0.9372368639057914,0.831320170172551,0.603,0.669140814853085
11689486,0,0.3700066128077034,0.9628928222734442,0.7612685505953727,0.526,0.6093300627319049
11694039,1,0.35087882410630716,0.9759866898699189,0.7691512317431504,0.761,0.6724003478599639
11699027,1,0.5756450156283858,0.9198069302103605,0.8351518228760488,0.657,0.7119543731789195
11709989,1,0.999999671512396,0.9969188578490478,0.9886554540774266,0.874,0.9658935681220671
11721023,0,0.7180147928839452,0.9536273560269348,0.8864135575197105,0.703,0.7851889924822841
11726902,0,0.7057385214831416,0.9172149990633526,0.8847052898732534,0.487,0.7148707208202478
11740372,1,0.0017073585429010297,0.47092208723744206,0.23969081293256503,0.438,0.28720521220079254
11748577,1,0.9999998900122073,0.9990723171249051,0.9938290685394766,0.824,0.9532253438207863
11757923,0,0.015912172924506147,0.8022830204586316,0.4377472529421566,0.31,0.38580043292488847
11769239,1,0.37829821365501376,0.9679912531956975,0.8064694359228164,0.715,0.6775009457278591
11804022,1,0.09601863583900279,0.8040202465934456,0.5795273129389803,0.638,0.5143731737028783
