id,Actual,Random Forest
7660715,1,0.798
7713127,1,0.643
7912718,0,0.63
8044288,0,0.347
8065089,0,0.522
8069131,1,0.301
8239200,1,0.624
8265930,1,0.765
8374848,1,1.0
8407113,0,0.276
8438029,1,0.964
8497859,1,0.673
8566102,1,0.638
8606577,1,0.787
8630975,0,0.789
8700396,1,0.901
8764561,0,0.291
8768687,1,0.92
8804035,0,0.525
9123339,1,0.963
9304660,0,0.454
9436953,1,0.687
9460707,1,0.683
9507858,1,0.399
9576009,1,1.0
9582501,1,0.551
9679554,1,0.806
9697822,1,0.656
9754206,0,0.34
9754220,0,0.251
9798653,1,0.738
9805018,1,0.581
9865253,0,0.713
9959868,0,0.68
10008193,1,0.568
10074364,1,0.903
10090020,1,0.663
10109182,0,0.288
10140089,0,0.448
10140973,1,0.925
10142485,0,0.452
10147439,0,0.406
10169826,1,0.283
10171908,0,0.77
10249314,1,0.943
10297070,1,0.755
10315536,0,0.023
10332517,0,0.579
10395392,1,0.612
10440431,1,0.746
10469665,0,0.282
10475438,1,0.932
10504268,1,0.862
10511908,1,0.67
10559299,1,0.739
10607598,1,0.854
10616257,0,0.587
10621390,1,0.905
10635088,1,0.674
10657934,0,0.606
10658074,1,0.809
10664718,1,0.848
10678406,0,0.452
10682575,1,0.67
10692485,1,0.842
10692602,0,0.513
10733733,0,0.534
10789723,1,0.406
10818293,1,0.913
10831976,0,0.56
10849585,0,0.395
10885436,1,0.929
10897675,0,0.608
10916050,1,0.497
10916351,0,0.422
10929485,0,0.523
10930066,1,0.83
10930272,0,0.935
10937237,1,0.87
10945040,1,0.961
10951554,1,0.631
10963493,0,0.19
10963497,0,0.784
10963812,1,0.64
11024276,1,0.566
11037328,1,0.489
11043026,1,0.739
11049481,1,0.614
11049605,1,0.597
11074507,1,0.897
11087528,1,0.574
11113862,0,0.453
11122165,1,0.72
11127225,0,0.881
11132598,0,0.466
11157339,0,0.425
11176443,0,0.902
11196867,0,0.624
11232268,1,0.998
11232793,0,0.752
11238197,1,0.628
11275903,1,0.729
11343650,0,0.221
11354803,0,0.62
11379446,0,0.299
11475334,0,0.523
11514493,1,0.711
11514633,0,0.566
11544460,1,0.646
11568576,1,0.535
11574624,1,0.57
11579841,0,0.718
11581020,1,0.74
11600263,1,0.663
11604966,1,0.703
11605387,1,0.811
11605388,1,0.911
11631208,1,0.319
11631237,1,0.42
11640493,1,0.706
11641384,0,0.12
11647153,1,0.468
11657598,1,0.757
11687152,1,0.583
11688100,1,0.668
11694039,1,0.68
11699027,1,0.943
11709989,1,0.851
11740372,1,0.334
11748577,1,0.948
11757907,0,0.393
11769239,1,0.685
11804022,1,0.81
11830476,1,0.967
2016283469,1,0.801
2017032245,0,0.296
2017069086,0,0.476
2017124187,1,0.518
2017270948,1,0.717
2017330388,1,0.528
2018039767,0,0.361
2018090132,1,0.754
2018131642,1,0.695
2018189797,0,0.416
2018203851,1,0.611
2018301144,1,0.601
2018330742,1,0.663
2018331839,1,0.642
2019013012,1,0.469
2019019500,1,0.703
2019065449,1,0.741
2019065498,1,0.47
2019066676,1,0.647
2019082255,0,0.583
2019358906,0,0.225
2019369924,0,0.307
2019371295,1,0.825
2019392291,1,0.383
2020075000,1,0.759
2020142926,1,0.618
2020151258,1,0.89
2020151458,1,0.566
2020211134,0,0.132
2020226216,1,0.726
2020226327,1,0.914
2020279024,1,0.889
2020396190,0,0.299
2020410285,1,0.711
2021042622,1,0.263
2021078180,0,0.287
2021097402,0,0.632
2021117893,1,0.621
2021125691,1,0.442
US6507704B2,0,0.201
US9976634B2,0,0.0
US9638111B2,0,0.024
US9796135B2,0,0.003
US10088073B1,0,0.001
US6560126B1,0,0.021
US9549616B2,0,0.013
US9532849B2,0,0.001
US8942550B1,0,0.009
US5293181A,0,0.003
US9419486B2,0,0.002
US9214704B2,0,0.009
US9468195B2,0,0.002
US7764046B2,0,0.019
US9456488B2,0,0.001
US9268174B2,0,0.0
US9356400B2,0,0.007
US9245551B2,0,0.017
US10086324B2,0,0.008
US10125051B2,0,0.022
US9239063B2,0,0.003
US9556988B2,0,0.002
US5435688A,0,0.009
US5297492A,0,0.016
US8770379B2,0,0.004
US9997848B2,0,0.018
US5876620A,0,0.005
US9674938B2,0,0.001
US8590907B2,0,0.005
US10058938B2,0,0.004
US8416393B2,0,0.013
US9966614B2,0,0.0
US8659914B2,0,0.001
US8950973B2,0,0.009
US4786534A,0,0.001
US9481529B2,0,0.004
US9856679B2,0,0.0
US5138978A,0,0.002
US7858846B2,0,0.034
US8653570B2,0,0.026
US8704004B2,0,0.007
US9132281B2,0,0.059
US9385428B2,0,0.04
US9067764B2,0,0.0
US10035440B2,0,0.005
US9384713B1,0,0.169
US9360001B2,0,0.001
US9204633B2,0,0.045
US5324378A,0,0.049
US6712429B2,0,0.006
US4867770A,0,0.01
US8000575B2,0,0.028
US10056589B2,0,0.005
US5427329A,0,0.0
US7331788B2,0,0.002
US9655418B2,0,0.009
US5984618A,0,0.001
US9003662B2,0,0.001
US8651268B2,0,0.019
US9661889B1,0,0.0
US9757641B2,0,0.095
US9527772B2,0,0.027
US5861711A,0,0.0
US9844174B2,0,0.027
US10132345B2,0,0.0
US6628869B2,0,0.008
US8962880B2,0,0.015
US6381412B1,0,0.012
US9777512B2,0,0.002
US9876914B2,0,0.074
US9446506B2,0,0.026
US7695371B2,0,0.004
US9677758B2,0,0.013
US10048469B2,0,0.075
US9174788B2,0,0.004
US9278126B2,0,0.034
US6213525A,0,0.0
US9396976B2,0,0.003
US9601801B2,0,0.051
US10130431B2,0,0.006
US9334734B2,0,0.0
US6043079A,0,0.009
US6905173B2,0,0.002
US5956359A,0,0.001
US5937790A,0,0.007
US4496059A,0,0.005
US8000339B2,0,0.144
US9180749B2,0,0.002
US6545233B2,0,0.005
US9027511B2,0,0.049
US5100202A,0,0.004
US4736957A,0,0.001
