id,Actual,Random Forest
7660715,1,0.809
7713127,1,0.715
7945952,0,0.702
8069131,1,0.512
8239200,1,0.886
8265930,1,0.623
8374848,1,1.0
8438029,1,0.866
8497859,1,0.616
8566102,1,0.782
8606577,1,0.598
8700396,1,0.869
8768687,1,0.832
9123339,1,0.723
9436953,1,0.76
9460707,1,0.742
9507858,1,0.62
9576009,1,0.999
9582501,1,0.761
9679554,1,0.619
9697822,1,0.716
9754219,0,0.179
9798653,1,0.852
9805018,1,0.736
9934515,0,0.721
10008193,1,0.722
10074364,1,0.823
10090020,1,0.76
10140973,1,0.882
10169826,1,0.689
10249314,1,0.876
10262107,0,0.349
10297070,1,0.676
10303978,0,0.499
10379995,0,0.671
10395392,1,0.715
10440431,1,0.687
10468019,0,0.729
10475438,1,0.833
10504268,1,0.735
10511908,1,0.836
10559299,1,0.809
10607598,1,0.792
10614031,0,0.795
10621390,1,0.661
10630726,0,0.383
10635088,1,0.682
10658074,1,0.8
10664718,1,0.65
10682575,1,0.752
10692485,1,0.687
10701394,0,0.751
10713662,0,0.417
10789723,1,0.738
10802889,0,0.399
10817314,0,0.695
10818293,1,0.766
10885436,1,0.813
10916050,1,0.616
10916351,0,0.565
10930066,1,0.737
10937237,1,0.777
10945040,1,0.779
10951554,1,0.648
10963812,1,0.818
10963823,0,0.65
10990852,0,0.727
11003865,0,0.748
11024276,1,0.565
11037328,1,0.74
11043026,1,0.794
11049481,1,0.628
11049605,1,0.731
11074507,1,0.806
11087528,1,0.668
11122165,1,0.737
11126826,0,0.758
11132598,0,0.805
11196867,0,0.542
11232268,1,0.998
11232793,0,0.583
11238197,1,0.673
11271984,0,0.549
11275903,1,0.831
11302329,0,0.491
11341698,0,0.602
11355112,0,0.452
11379446,0,0.379
11430434,0,0.633
11470279,0,0.663
11475334,0,0.724
11514493,1,0.682
11515041,0,0.716
11544460,1,0.695
11568576,1,0.737
11574624,1,0.782
11579841,0,0.729
11581020,1,0.848
11600263,1,0.83
11604966,1,0.574
11605387,1,0.461
11605388,1,0.91
11631208,1,0.771
11631237,1,0.867
11640493,1,0.783
11647153,1,0.598
11657598,1,0.767
11687152,1,0.669
11688100,1,0.803
11689486,0,0.662
11694039,1,0.71
11699027,1,0.816
11709989,1,0.909
11740372,1,0.601
11748577,1,0.804
11769239,1,0.775
11804022,1,0.759
11829474,0,0.871
11830476,1,0.793
2016189705,0,0.812
2016283469,1,0.72
2017124187,1,0.626
2017270948,1,0.764
2017316453,0,0.616
2017330388,1,0.711
2018090132,1,0.865
2018131642,1,0.422
2018203851,1,0.765
2018301144,1,0.719
2018330742,1,0.769
2018330818,0,0.518
2018331839,1,0.666
2018332167,0,0.543
2019013012,1,0.465
2019019500,1,0.798
2019065449,1,0.868
2019065498,1,0.542
2019066676,1,0.697
2019318433,0,0.504
2019358906,0,0.617
2019369924,0,0.568
2019371295,1,0.791
2019392291,1,0.733
2020074498,0,0.594
2020075000,1,0.607
2020142926,1,0.794
2020151258,1,0.753
2020151458,1,0.687
2020167864,0,0.313
2020226216,1,0.681
2020226327,1,0.905
2020265394,0,0.399
2020279024,1,0.9
2020410285,1,0.802
2021042622,1,0.736
2021110207,0,0.552
2021117893,1,0.602
2021125691,1,0.615
US6507704B2,0,0.398
US9638111B2,0,0.014
US9085449B2,0,0.042
US10105730B2,0,0.453
US9080016B2,0,0.001
US7708473B2,0,0.007
US5293181A,0,0.396
US9205449B1,0,0.211
US8978270B1,0,0.161
US8997402B2,0,0.078
US9456488B2,0,0.003
US9913041B2,0,0.445
US9833932B1,0,0.085
US10020452B2,0,0.019
US8445113B2,0,0.122
US9949604B2,0,0.0
US9109789B2,0,0.003
US10086324B2,0,0.48
US6143223A,0,0.002
US10125051B2,0,0.076
US9131640B2,0,0.016
US5325406A,0,0.07
US7931952B2,0,0.086
US6174958A,0,0.049
US5435688A,0,0.007
US9140859B2,0,0.12
US9789031B2,0,0.081
US9997848B2,0,0.152
US9305748B2,0,0.054
US7162816B2,0,0.001
US9966614B2,0,0.0
US9504796B2,0,0.018
US8613958B2,0,0.009
US9533741B2,0,0.0
US8950973B2,0,0.016
US9758255B1,0,0.069
US9397206B2,0,0.003
US9186781B2,0,0.185
US8936691B2,0,0.017
US8105392B2,0,0.001
US6027800A,0,0.03
US8702176B2,0,0.011
US5138978A,0,0.091
US5714350A,0,0.035
US9902620B2,0,0.044
US8708355B1,0,0.07
US8739890B2,0,0.009
US6995448B2,0,0.007
US6843517B2,0,0.0
US6175324A,0,0.055
US6933305B2,0,0.012
US6874698B1,0,0.167
US7015252B2,0,0.078
US4867770A,0,0.025
US5248526A,0,0.07
US9090850B1,0,0.019
US10068560B1,0,0.15
US4710062A,0,0.009
US10056589B2,0,0.068
US9968356B2,0,0.024
US5611557A,0,0.123
US9537254B2,0,0.003
US7592653B2,0,0.019
US9066504B2,0,0.021
US9728788B2,0,0.074
US5861711A,0,0.03
US5184547A,0,0.006
US4621864A,0,0.061
US6815234B2,0,0.002
US9871169B2,0,0.001
US6533361B1,0,0.057
US9281454B2,0,0.014
US7243992B2,0,0.012
US9941770B2,0,0.003
US7583031B1,0,0.166
US9180263B2,0,0.036
US9201200B2,0,0.002
US5509703A,0,0.012
US8942004B2,0,0.021
US4917964A,0,0.013
US8763979B2,0,0.005
US4915908A,0,0.01
US9066587B1,0,0.005
US6213525A,0,0.008
US9396976B2,0,0.02
US8837044B2,0,0.0
US5032674A,0,0.123
US5056343A,0,0.005
US7850137B2,0,0.016
US6043079A,0,0.076
US7509872B2,0,0.073
US9313870B2,0,0.225
US10043562B2,0,0.182
US7600461B1,0,0.0
US9016240B2,0,0.154
US5937790A,0,0.056
US5968810A,0,0.001
US8000339B2,0,0.279
US9538703B2,0,0.007
US10133306B2,0,0.044
US7137154B2,0,0.001
US7422179B2,0,0.037
US9087414B2,0,0.039
US4763229A,0,0.005
US7961454B2,0,0.001
US6476140B2,0,0.012
US10008297B2,0,0.001
US9882296B1,0,0.097
US10094416B2,0,0.0
US6380305B1,0,0.03
US9482246B2,0,0.008
US9637141B2,0,0.158
US9308184B2,0,0.024
US9586666B2,0,0.199
US10046894B1,0,0.002
US9534461B2,0,0.147
US5683138A,0,0.026
US10059164B1,0,0.0
US10053915B2,0,0.003
US6855061B2,0,0.022
US10130147B2,0,0.014
US9838110B2,0,0.139
US9890099B2,0,0.018
US10032390B2,0,0.002
US5142919A,0,0.186
US6933666B2,0,0.0
US9184532B2,0,0.01
US9964369B2,0,0.003
US9184078B2,0,0.033
US8013481B2,0,0.075
US8857655B2,0,0.001
US9902421B2,0,0.0
US6838257B2,0,0.055
US8981157B2,0,0.0
US4711322A,0,0.0
US4599436A,0,0.038
US10122231B2,0,0.005
US7565159B2,0,0.111
US9610873B2,0,0.01
US6527949B1,0,0.133
US6579035B1,0,0.026
US9290652B2,0,0.174
US10100026B2,0,0.116
US9605790B1,0,0.019
US9981249B2,0,0.037
US8805316B2,0,0.366
US9969342B2,0,0.025
US8494030B2,0,0.247
US10031764B2,0,0.427
US9026322B2,0,0.021
US7516535B1,0,0.008
US9346614B2,0,0.087
US9437903B2,0,0.248
US10030216B2,0,0.072
US9375801B2,0,0.006
US7499069B2,0,0.502
US9644364B2,0,0.026
US9047965B2,0,0.072
US9676067B2,0,0.007
US5611101A,0,0.004
US9708533B2,0,0.061
US8395531B2,0,0.101
US9916713B1,0,0.315
US9072486B2,0,0.0
US9627934B2,0,0.081
US8844363B2,0,0.109
US8932865B2,0,0.036
US8444631B2,0,0.048
US9072754B2,0,0.02
US7008839B2,0,0.012
US5121527A,0,0.025
US6610949B2,0,0.002
US7419360B2,0,0.13
US5518739A,0,0.057
US5499684A,0,0.121
