id,Actual,Random Forest
7660715,1,0.808
7713127,1,0.663
7720683,0,0.688
8069131,1,0.355
8239200,1,0.828
8265930,1,0.569
8374848,1,0.999
8438029,1,0.829
8497859,1,0.432
8566102,1,0.764
8606577,1,0.46
8630975,0,0.626
8700396,1,0.84
8768687,1,0.716
9123339,1,0.505
9418385,0,0.253
9436953,1,0.675
9460707,1,0.718
9507858,1,0.724
9576009,1,0.999
9582501,1,0.67
9679554,1,0.573
9697822,1,0.696
9754206,0,0.167
9798653,1,0.854
9805018,1,0.714
9959868,0,0.643
10008193,1,0.548
10074364,1,0.72
10090020,1,0.661
10140973,1,0.865
10169826,1,0.499
10249314,1,0.79
10297070,1,0.528
10315536,0,0.001
10325599,0,0.549
10395392,1,0.578
10440431,1,0.714
10469665,0,0.26
10475438,1,0.805
10503804,0,0.522
10504268,1,0.615
10511908,1,0.785
10559299,1,0.822
10565989,0,0.556
10580405,0,0.16
10607598,1,0.8
10614031,0,0.756
10621390,1,0.426
10635088,1,0.623
10658074,1,0.728
10664718,1,0.526
10678406,0,0.174
10682575,1,0.627
10692485,1,0.602
10692602,0,0.708
10769501,0,0.48
10789723,1,0.595
10796381,0,0.122
10802889,0,0.152
10818293,1,0.784
10831976,0,0.643
10841666,0,0.778
10885436,1,0.779
10908950,0,0.179
10916050,1,0.661
10930066,1,0.668
10931999,0,0.57
10937237,1,0.672
10945040,1,0.642
10951554,1,0.508
10963497,0,0.592
10963812,1,0.766
11024276,1,0.542
11037328,1,0.467
11043026,1,0.729
11049481,1,0.548
11049605,1,0.573
11069353,0,0.437
11074507,1,0.849
11087528,1,0.449
11087877,0,0.475
11109099,0,0.277
11122165,1,0.516
11126826,0,0.677
11127225,0,0.633
11138249,0,0.617
11153566,0,0.805
11232268,1,1.0
11238197,1,0.688
11275903,1,0.795
11302310,0,0.832
11321729,0,0.384
11379747,0,0.547
11393451,0,0.74
11483494,0,0.635
11514493,1,0.659
11514633,0,0.566
11544460,1,0.686
11568576,1,0.63
11574624,1,0.695
11581020,1,0.763
11586724,0,0.579
11600263,1,0.726
11604966,1,0.535
11605387,1,0.246
11605388,1,0.896
11631208,1,0.55
11631237,1,0.735
11640493,1,0.71
11647153,1,0.562
11657598,1,0.817
11687152,1,0.484
11688100,1,0.586
11689486,0,0.553
11694039,1,0.74
11699027,1,0.669
11709989,1,0.892
11721023,0,0.686
11726902,0,0.476
11740372,1,0.44
11748577,1,0.836
11757923,0,0.308
11769239,1,0.72
11804022,1,0.666
11830476,1,0.735
2016239865,0,0.666
2016283469,1,0.684
2017124187,1,0.409
2017270948,1,0.691
2017330388,1,0.661
2017358003,0,0.285
2018090132,1,0.754
2018131642,1,0.403
2018203851,1,0.712
2018301144,1,0.645
2018330742,1,0.799
2018330818,0,0.26
2018331839,1,0.561
2019013012,1,0.489
2019019500,1,0.857
2019043076,0,0.075
2019065449,1,0.789
2019065498,1,0.422
2019066676,1,0.657
2019080425,0,0.208
2019082065,0,0.276
2019114593,0,0.206
2019371295,1,0.827
2019392291,1,0.639
2020075000,1,0.619
2020092519,0,0.76
2020142926,1,0.821
2020151258,1,0.725
2020151458,1,0.58
2020226216,1,0.757
2020226327,1,0.883
2020258608,0,0.175
2020265394,0,0.228
2020279024,1,0.877
2020410285,1,0.687
2021042622,1,0.607
2021117893,1,0.516
2021125691,1,0.628
US6507704B2,0,0.021
US9616574B2,0,0.0
US9261901B2,0,0.004
US10130979B2,0,0.02
US9919923B2,0,0.004
US10105730B2,0,0.194
US9591808B2,0,0.001
US9034972B2,0,0.0
US9532849B2,0,0.0
US10086944B2,0,0.008
US9205449B1,0,0.084
US9789802B2,0,0.0
US10065724B2,0,0.014
US9850724B2,0,0.005
US9651291B2,0,0.001
US9272360B2,0,0.022
US9214704B2,0,0.005
US9468195B2,0,0.0
US7764046B2,0,0.002
US9833932B1,0,0.049
US6603853B1,0,0.011
US9356400B2,0,0.029
US9381755B2,0,0.007
US9766037B2,0,0.055
US9186524B2,0,0.0
US9556988B2,0,0.0
US5325406A,0,0.021
US6536310B2,0,0.004
US9426999B2,0,0.001
US9373548B2,0,0.0
US8829673B2,0,0.004
US8659914B2,0,0.007
US9766159B2,0,0.0
US9533741B2,0,0.0
US9740647B1,0,0.009
US8936691B2,0,0.002
US6027800A,0,0.001
US4774536A,0,0.059
US7663020B2,0,0.249
US9481529B2,0,0.0
US9856679B2,0,0.005
US8702176B2,0,0.002
US7858846B2,0,0.129
US8651539B1,0,0.022
US5941102A,0,0.001
US8708355B1,0,0.071
US9490229B2,0,0.0
US9028753B2,0,0.0
US9360001B2,0,0.0
