id,Actual,Random Forest
7660715,1,0.832
7713127,1,0.661
7945952,0,0.897
8069131,1,0.356
8239200,1,0.651
8265930,1,0.736
8374848,1,0.999
8438029,1,0.952
8497859,1,0.717
8566102,1,0.689
8606577,1,0.782
8700396,1,0.889
8768687,1,0.875
9123339,1,0.934
9436953,1,0.723
9460707,1,0.736
9507858,1,0.48
9576009,1,0.999
9582501,1,0.633
9679554,1,0.835
9697822,1,0.72
9754219,0,0.367
9798653,1,0.706
9805018,1,0.61
9934515,0,0.897
10008193,1,0.594
10074364,1,0.899
10090020,1,0.702
10140973,1,0.899
10169826,1,0.361
10249314,1,0.948
10262107,0,0.197
10297070,1,0.84
10303978,0,0.492
10379995,0,0.451
10395392,1,0.69
10440431,1,0.733
10468019,0,0.835
10475438,1,0.936
10504268,1,0.874
10511908,1,0.718
10559299,1,0.739
10607598,1,0.887
10614031,0,0.936
10621390,1,0.866
10630726,0,0.644
10635088,1,0.666
10658074,1,0.842
10664718,1,0.869
10682575,1,0.725
10692485,1,0.84
10701394,0,0.335
10713662,0,0.424
10789723,1,0.473
10802889,0,0.623
10817314,0,0.83
10818293,1,0.872
10885436,1,0.917
10916050,1,0.571
10916351,0,0.489
10930066,1,0.848
10937237,1,0.894
10945040,1,0.955
10951554,1,0.672
10963812,1,0.635
10963823,0,0.561
10990852,0,0.746
11003865,0,0.815
11024276,1,0.589
11037328,1,0.58
11043026,1,0.749
11049481,1,0.703
11049605,1,0.563
11074507,1,0.877
11087528,1,0.625
11122165,1,0.692
11126826,0,0.839
11132598,0,0.579
11196867,0,0.637
11232268,1,0.997
11232793,0,0.714
11238197,1,0.605
11271984,0,0.649
11275903,1,0.76
11302329,0,0.442
11341698,0,0.57
11355112,0,0.674
11379446,0,0.415
11430434,0,0.8
11470279,0,0.755
11475334,0,0.515
11514493,1,0.75
11515041,0,0.801
11544460,1,0.711
11568576,1,0.618
11574624,1,0.646
11579841,0,0.71
11581020,1,0.746
11600263,1,0.712
11604966,1,0.684
11605387,1,0.851
11605388,1,0.885
11631208,1,0.36
11631237,1,0.528
11640493,1,0.778
11647153,1,0.528
11657598,1,0.748
11687152,1,0.596
11688100,1,0.728
11689486,0,0.803
11694039,1,0.742
11699027,1,0.928
11709989,1,0.85
11740372,1,0.372
11748577,1,0.953
11769239,1,0.685
11804022,1,0.794
11829474,0,0.735
11830476,1,0.953
2016189705,0,0.568
2016283469,1,0.786
2017124187,1,0.557
2017270948,1,0.697
2017316453,0,0.57
2017330388,1,0.586
2018090132,1,0.778
2018131642,1,0.745
2018203851,1,0.706
2018301144,1,0.646
2018330742,1,0.704
2018330818,0,0.434
2018331839,1,0.663
2018332167,0,0.413
2019013012,1,0.532
2019019500,1,0.712
2019065449,1,0.743
2019065498,1,0.593
2019066676,1,0.61
2019318433,0,0.258
2019358906,0,0.267
2019369924,0,0.38
2019371295,1,0.831
2019392291,1,0.481
2020074498,0,0.59
2020075000,1,0.718
2020142926,1,0.678
2020151258,1,0.868
2020151458,1,0.55
2020167864,0,0.312
2020226216,1,0.731
2020226327,1,0.886
2020265394,0,0.299
2020279024,1,0.925
2020410285,1,0.715
2021042622,1,0.405
2021110207,0,0.518
2021117893,1,0.642
2021125691,1,0.445
US6507704B2,0,0.327
US9638111B2,0,0.038
US9085449B2,0,0.071
US10105730B2,0,0.063
US9080016B2,0,0.055
US7708473B2,0,0.009
US5293181A,0,0.025
US9205449B1,0,0.001
US8978270B1,0,0.016
US8997402B2,0,0.009
US9456488B2,0,0.002
US9913041B2,0,0.088
US9833932B1,0,0.062
US10020452B2,0,0.066
US8445113B2,0,0.002
US9949604B2,0,0.002
US9109789B2,0,0.001
US10086324B2,0,0.035
US6143223A,0,0.016
US10125051B2,0,0.034
US9131640B2,0,0.014
US5325406A,0,0.008
US7931952B2,0,0.01
US6174958A,0,0.072
US5435688A,0,0.035
US9140859B2,0,0.045
US9789031B2,0,0.006
US9997848B2,0,0.035
US9305748B2,0,0.043
US7162816B2,0,0.015
US9966614B2,0,0.001
US9504796B2,0,0.035
US8613958B2,0,0.065
US9533741B2,0,0.009
US8950973B2,0,0.012
US9758255B1,0,0.041
US9397206B2,0,0.005
US9186781B2,0,0.001
US8936691B2,0,0.012
US8105392B2,0,0.008
US6027800A,0,0.017
US8702176B2,0,0.005
US5138978A,0,0.008
US5714350A,0,0.103
US9902620B2,0,0.016
US8708355B1,0,0.014
US8739890B2,0,0.001
US6995448B2,0,0.005
US6843517B2,0,0.004
US6175324A,0,0.173
US6933305B2,0,0.031
US6874698B1,0,0.022
US7015252B2,0,0.017
US4867770A,0,0.027
US5248526A,0,0.001
US9090850B1,0,0.031
US10068560B1,0,0.041
US4710062A,0,0.007
US10056589B2,0,0.012
US9968356B2,0,0.01
US5611557A,0,0.033
US9537254B2,0,0.009
US7592653B2,0,0.029
US9066504B2,0,0.0
US9728788B2,0,0.068
US5861711A,0,0.0
US5184547A,0,0.013
US4621864A,0,0.0
US6815234B2,0,0.045
US9871169B2,0,0.024
US6533361B1,0,0.019
US9281454B2,0,0.005
US7243992B2,0,0.005
US9941770B2,0,0.0
US7583031B1,0,0.018
US9180263B2,0,0.024
US9201200B2,0,0.007
US5509703A,0,0.0
US8942004B2,0,0.023
US4917964A,0,0.007
US8763979B2,0,0.0
US4915908A,0,0.012
US9066587B1,0,0.0
US6213525A,0,0.0
US9396976B2,0,0.006
US8837044B2,0,0.029
US5032674A,0,0.038
US5056343A,0,0.0
